experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
951,0,Core,'PC Windows 2000',normal,P3,35,false,26753,5,6,0,5,129.6,104,1,226,0,346,2,Olivier Thomann,0,0,178,false,212,0.427889207,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,21,true,26785,2,3,0,4,324,9,0,217,0,347,2,Philipe Mulet,0,0,178,false,276,0.41069723,10,548,1,after-2
10,0,Core,'PC Windows 2000',minor,P3,57,false,26817,2,5,1,7,168,108,0,228,0,346,2,Olivier Thomann,0,0,178,false,214,0.431709647,10,548,1,after-2
112,0,Core,'PC Windows 2000',normal,P3,82,true,26841,1,5,1,7,156,6,0,221,0,346,2,Philipe Mulet,0,0,178,false,278,0.418338109,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,28,true,26883,1,3,0,4,312,2,0,223,0,346,2,Philipe Mulet,0,0,178,false,280,0.422158548,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,146,true,26903,1,8,1,5,89.14285714,42,3,231,0,342,2,Philipe Mulet,0,0,178,false,282,0.435530086,10,548,1,after-2
768,0,Core,'PC Windows 2000',major,P3,47,false,26909,1,7,1,6,308,5,74,390,0,271,2,David Audel,0,0,178,false,120,0.743075454,10,548,1,after-2
951,0,Core,'PC Windows 98',normal,P3,40,true,26912,1,6,0,10,374.4,5,68,369,0,277,2,Philipe Mulet,0,0,178,false,313,0.70296084,10,548,1,after-2
1625,0,Core,'PC Windows 2000',normal,P3,39,false,27002,2,8,1,5,89.14285714,9,0,230,0,345,2,Philipe Mulet,0,0,178,false,281,0.433619866,10,548,1,after-2
804,0,Core,'PC Linux-GTK',major,P2,220,false,27027,1,4,3,11,600,131,67,374,0,276,2,David Audel,0,0,178,true,118,0.712511939,10,548,1,after-2
1,0,Core,'All All',enhancement,P3,62,false,27134,1,13,1,23,886,10,427,492,4,149,1,Frederic Fusier,0.637951106,2.140625,311,false,39,0.84137931,3,776,0,after-1
346,0,Core,'PC Windows 2000',normal,P3,125,true,27235,1,3,1,5,240,2,2,242,0,338,2,Philipe Mulet,0,0,178,false,284,0.454632283,10,548,1,after-2
1061,0,Core,'PC Windows 2000',normal,P3,78,false,27291,1,8,3,17,243.4285714,10,57,359,0,282,2,Jerome Lanneluc,0,0,178,false,237,0.681948424,10,548,1,after-2
951,0,Core,'PC Windows 2000',critical,P3,266,false,27294,1,5,1,9,120,215,6,253,0,333,2,Jerome Lanneluc,0,0,178,true,200,0.475644699,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,54,true,27298,1,9,1,7,306,9,40,300,0,298,2,Philipe Mulet,0,0,178,false,299,0.569245463,10,548,1,after-2
130,0,Core,'PC Windows NT',critical,P3,48,false,27370,1,3,1,5,216,12,6,256,0,332,2,David Audel,0,0,178,false,105,0.481375358,10,548,1,after-2
2,0,Core,'PC Windows 2000',normal,P3,110,false,27485,3,5,1,6,558,6,43,321,0,292,2,Jerome Lanneluc,0,0,178,false,221,0.609360076,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,82,true,27487,1,3,1,5,180,5,0,248,0,335,2,Kent Johnson,0,0,178,false,97,0.466093601,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,23,false,27494,2,4,1,6,128,157,1,249,0,334,2,Jerome Lanneluc,0,0,178,false,199,0.46800382,10,548,1,after-2
951,0,Core,'PC Windows 2000',major,P3,70,false,27499,3,3,1,6,192,62,0,247,0,335,2,Jerome Lanneluc,0,0,178,false,198,0.464183381,10,548,1,after-2
4,0,Core,'PC Windows 2000',normal,P3,167,false,27532,1,7,2,8,15183.83333,31,0,251,0,334,2,Kent Johnson,0,0,178,false,98,0.47182426,10,548,1,after-2
1625,0,Core,'PC Windows 2000',normal,P3,64,false,27555,1,7,1,8,64,64,6,265,0,328,2,Jerome Lanneluc,0,0,178,false,204,0.498567335,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,9,false,27595,1,3,1,6,168,26,5,268,0,328,2,Jerome Lanneluc,0,0,178,false,205,0.504297994,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,53,false,27597,1,4,1,6,112,37,0,250,0,334,2,Olivier Thomann,0,0,178,false,216,0.46991404,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,118,true,27658,1,5,0,4,84,32,0,255,0,333,2,JDT-Core-Inbox,0,0,178,false,6,0.479465138,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,25,false,27683,1,3,1,6,168,9,0,254,0,333,2,Jerome Lanneluc,0,0,178,false,201,0.477554919,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,63,false,27690,4,5,1,6,84,10,0,260,0,332,2,Olivier Thomann,0,0,178,false,218,0.489016237,10,548,1,after-2
293,0,Core,'Macintosh Mac OS X - Carbon (unsup.)',critical,P1,201,false,27714,3,3,1,6,156,18,0,258,0,332,2,Jerome Lanneluc,0,0,178,true,202,0.485195798,10,548,1,after-2
112,0,Core,'PC Windows 2000',normal,P3,33,true,27735,1,3,0,4,156,17,0,257,0,332,2,David Audel,0,0,178,false,106,0.483285578,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,24,false,27840,2,3,1,6,156,114,0,261,0,331,2,Jerome Lanneluc,0,0,178,false,203,0.490926457,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,110,true,27852,1,3,1,5,144,5,3,270,0,327,2,Kent Johnson,0,0,178,false,99,0.510028653,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,33,false,27853,1,4,0,4,96,18,0,262,0,331,2,JDT-Core-Inbox,0,0,178,false,7,0.492836676,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,71,true,27890,1,4,2,8,88,91,1,269,0,328,2,Olivier Thomann,0,0,178,false,219,0.506208214,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,126,false,27941,1,6,1,6,43.2,8,1,272,0,327,2,David Audel,0,0,178,true,108,0.513849093,10,548,1,after-2
20,0,Core,'PC Windows 98',normal,P3,98,false,27994,1,5,3,11,510,21,71,443,0,256,2,David Audel,0,0,178,false,132,0.841451767,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,287,false,28000,3,4,1,6,64,657,3,278,0,324,2,Philipe Mulet,0,0,178,false,293,0.525310411,10,548,1,after-2
768,0,Core,'PC Windows 2000',critical,P3,56,false,28064,1,8,1,5,24,14,1,275,0,325,2,David Audel,0,0,178,false,109,0.519579752,10,548,1,after-2
1625,0,Core,'PC Windows 2000',normal,P3,22,false,28104,1,4,1,7,56,2,2,281,0,323,2,Jerome Lanneluc,0,0,178,false,207,0.53104107,10,548,1,after-2
