experience,median_integration_time,component,platform,priority,description_size,hascode,files,activities,comments,tossing,comments_interval,churn,fix_time,workload,bug_id,delay,days,release_delay,resolver_experience,has_stack,resolver,rank_ratio,entire_int_rate,prev_int_rate,coming_from_prev,active_developers,release_size,class,class2
46,3,Other,All,P3,22,false,52,8,7,0,50233.66667,335,15,173,979,3,699,3,231,false,issues@argouml,0.577235772,0,0,0,26,521,1,after-3-or-more
146,0,Other,All,P1,82,false,29,11,8,0,44146,1438,233,499,989,1,252,1,595,false,issues@argouml,0.796791444,0,0,222,15,392,1,after-1
159,2,Other,All,P5,98,false,2,30,20,1,17516.52632,15,461,548,998,0,21,1,5,false,jjones,0.947269303,0.545070423,3.279661017,323,26,521,0,next
46,4,Persistence,All,P3,55,false,2,18,13,0,28286.5,66,1085,172,1006,0,190,0,1138,false,issues@argouml,0.310126582,0.979827089,1.133333333,7,20,482,1,next
46,2,'Class Diagram',All,P5,18,false,2,7,5,0,77256,4,158,385,1008,1,320,1,495,false,issues@argouml,0.660427807,0,0,222,15,392,1,after-1
46,4,Explorer,'Windows 2000',P5,49,false,4,26,30,1,12100.34483,603,2077,195,1009,0,160,0,1,false,smroberts01,0.46882793,0.981481481,0.981481481,3,24,383,1,next
357,2,'Class Diagram',All,P3,24,false,6,28,13,1,28286.41667,58,1077,161,1011,0,198,0,47,false,mkl,0.286919831,0.979827089,1.133333333,7,20,482,1,next
148,2,'Details Pane',All,P5,41,false,2,30,21,0,16961.55,13,684,313,1013,2,21,0,908,false,issues@argouml,0.949152542,0.545070423,3.279661017,323,26,521,0,after-2
2,0,'Class Diagram','Windows 2000',P3,453,false,1,16,11,0,30902.1,79,177,444,1015,1,300,1,545,true,issues@argouml,0.728609626,0,0,222,15,392,1,after-1
115,2,'Class Diagram','Windows 2000',P3,64,false,4,13,17,0,18253.4375,514,165,410,1021,1,310,1,517,false,issues@argouml,0.691176471,0,0,222,15,392,1,after-1
152,3,Diagrams,All,P3,17,false,4,22,18,2,19966.88235,85,1187,375,1031,0,80,0,1182,false,issues@argouml,0.748945148,0.979827089,1.133333333,7,20,482,0,next
152,3,'Sequence Diagram',All,P3,10,false,2,22,17,1,21214.6875,96,29,53,1032,0,266,6,22,false,kataka,0.061181435,0.979827089,1.133333333,7,20,482,1,next
150,3,Persistence,All,P2,349,false,1,7,6,0,60280.6,21,0,176,1033,3,698,3,239,true,issues@argouml,0.598915989,0,0,0,26,521,1,after-3-or-more
12,3,'Class Diagram','Windows 2000',P3,48,false,1,17,10,0,33200.11111,12,448,736,1039,1,248,1,793,false,issues@argouml,0.963380282,0.014975042,0.023746702,592,26,521,1,after-1
148,2,'Class Diagram','Windows 2000',P2,18,false,2,16,16,0,20093.2,63,0,184,1040,3,695,3,253,false,issues@argouml,0.636856369,0,0,0,26,521,1,after-3-or-more
